system,T,method,n_snap,MAE_dFres,RMSE_dFres,R2_dFres
Cu,700,enriched_d2,100,0.20458478515653758,0.20458617789234057,-404780.742059944
Cu,700,enriched_d3,100,0.15049890408504274,0.15050348233425215,-219058.16848467977
Cu,700,piml,100,0.2957752531620772,0.29577620995876663,-846046.6367397973
Cu,700,response_only,100,0.08980918991680743,0.08981512376853001,-78012.05456176175
Cu,700,temp_only,100,0.022462248596829566,0.022464550177429543,-4879.494088900465
Ti64,300,enriched_d2,100,0.04973926447888623,0.04974421982980009,-279993.9919820505
Ti64,300,enriched_d3,100,0.030051614271643098,0.030067150047710517,-102292.85499363398
Ti64,300,piml,100,0.001648147641534695,0.0016503647787883004,-307.19451758147795
Ti64,300,response_only,100,0.20349124193596066,0.20349145433972143,-4685514.372108279
Ti64,300,temp_only,100,0.008737917789987965,0.00873842348010663,-8639.347131500506
Ti64,400,enriched_d2,100,0.0031793531810663006,0.003283987765361895,-616.7562777757503
Ti64,400,enriched_d3,100,0.05151002903258978,0.051522652549283086,-152057.4412144743
Ti64,400,piml,100,0.021301977565317317,0.021309054223721702,-26009.125972731672
Ti64,400,response_only,100,0.132748016873355,0.13274846452463573,-1009421.8216982775
Ti64,400,temp_only,100,0.0028907130324616758,0.002893731067413159,-478.6566174285341
Ti64,500,enriched_d2,100,0.07372171788629717,0.07372962765031896,-176237.7550717111
Ti64,500,enriched_d3,100,0.08704422540986587,0.08705489846691472,-245698.21093933695
Ti64,500,piml,100,0.005576811254712824,0.005582570800106152,-1009.382497288055
Ti64,500,response_only,100,0.03949907795387428,0.039503571483900296,-50591.9564136418
Ti64,500,temp_only,100,0.00014218441080672106,0.00017815956789583715,-0.029048008436709738
Ti64,600,enriched_d2,100,0.14315001337868283,0.1431543510768777,-444524.87691162206
Ti64,600,enriched_d3,100,0.13099462458816252,0.13100379067611667,-372266.9664589344
Ti64,600,piml,100,0.0022838007307695364,0.0025239461256479885,-137.180927408734
Ti64,600,response_only,100,0.05661550514065993,0.056619480801400585,-69536.60156207132
Ti64,600,temp_only,100,0.005598034866128853,0.005602150974770108,-679.7655329192986
Ti64,700,enriched_d2,100,0.23130335823834816,0.231305785830971,-833457.581345366
Ti64,700,enriched_d3,100,0.1918309859468171,0.19183688156125828,-573290.1560032513
Ti64,700,piml,100,0.3039157228631129,0.30391599150174115,-1438857.6596046106
Ti64,700,response_only,100,0.1961290592888384,0.19612985589008616,-599235.7617279567
Ti64,700,temp_only,100,0.02636344550034142,0.026364662938131025,-10827.18025542172
alpha-TiAl,300,enriched_d2,100,0.09663584117408736,0.09663727324120704,-463277.0792262506
alpha-TiAl,300,enriched_d3,100,0.14284531719245483,0.1428468308724686,-1012262.637641687
alpha-TiAl,300,piml,100,0.025494935443481852,0.025495342537789206,-32244.87152691447
alpha-TiAl,300,response_only,100,0.1967924380330381,0.19679280128390583,-1921191.2786936776
alpha-TiAl,300,temp_only,100,0.00873791778998798,0.008739071192706362,-3787.6367843784583
alpha-TiAl,400,enriched_d2,100,0.017674240246655048,0.01769758043137279,-7686.939051336524
alpha-TiAl,400,enriched_d3,100,0.10173087603188316,0.10173567862917973,-254054.56645683787
alpha-TiAl,400,piml,100,0.01734369134682863,0.017348094863866514,-7386.299703546286
