timestep,natoms,U_eVatom,PE_eVatom,KE_eVatom,SLE_mean,SLE_std,SLE_q25,SLE_q50,SLE_q75,SLE_iqr,Voro_mean,Voro_q25,Voro_q50,Voro_q75,Voro_iqr,q6_mean,q6_std,q6_q25,q6_q50,q6_q75,q6_iqr,q6knn_mean,vMises_mean,vMises_q25,vMises_q50,vMises_q75,vMises_iqr,system,T,snap,FANC_eVatom,TSLE_eVatom,F0_eVatom,dFraw_eVatom,dFraw_T0_mean,dFres_eVatom
385000,80256,-4.614660380661287,-4.705298438372209,0.0906380577109213,-4.328580907844897,0.14431794652979177,-4.427485,-4.332995,-4.23357,0.19391499999999962,17.710381252492024,17.3359,17.7086,18.08195,0.7460500000000003,0.29107517459611015,0.016686355455186357,0.2806423008441925,0.2920326143503189,0.30264850705862045,0.022006206214427948,0.2911761276525307,93717.912574907,69092.91882638309,89849.46331576546,114372.47799782563,45279.55917144254,alpha-TiAl,700,84,-4.97663412,-0.2611057696410099,-4.353554611020277,-0.623079508979723,-0.2125885662818252,-0.41049094269789776
386000,80256,-4.614314324701316,-4.705358965934011,0.09104464123269661,-4.323770204221491,0.14680619579662407,-4.42454,-4.3274,-4.2263275,0.19821250000000035,17.712605335426634,17.3374,17.710050000000003,18.083325000000002,0.7459250000000033,0.29119207606312225,0.01658666787941046,0.2807146981358528,0.29213058948516846,0.3027326986193657,0.02201800048351288,0.29127253109976897,93507.00306198068,68806.81804352804,89753.23155711837,114059.52573784844,45252.7076943204,alpha-TiAl,700,85,-4.97663412,-0.2608155815865767,-4.35349874311474,-0.6231353768852603,-0.2125885662818252,-0.4105468106034351
387000,80256,-4.614998197186724,-4.705633168735048,0.09063497154832412,-4.328450906225079,0.14470428148682885,-4.4273625,-4.331365,-4.2314325,0.19592999999999972,17.709300989334128,17.3349,17.70715,18.0787,0.7438000000000002,0.29109816097222163,0.016657022892528277,0.2806743457913399,0.29191112518310547,0.3027085214853287,0.0220341756939888,0.29117866943663123,93525.98373458821,68685.71782977815,89766.7636936167,114030.70174944942,45344.98391967127,alpha-TiAl,700,86,-4.97663412,-0.26109792777003193,-4.353900269416692,-0.622733850583308,-0.2125885662818252,-0.4101452843014828
388000,80256,-4.615399963522943,-4.705698841581938,0.09029887805899374,-4.330015435730662,0.14553996458510782,-4.43037,-4.333325,-4.2331650000000005,0.1972049999999994,17.71148320873206,17.3347,17.7075,18.0839,0.7491999999999983,0.2911447989693108,0.01654406713477641,0.28070512413978577,0.2921145558357239,0.3027169480919838,0.02201182395219803,0.291048567861124,93476.63717742306,68498.35541588449,89706.99198785744,114367.66587218955,45869.31045630506,alpha-TiAl,700,87,-4.97663412,-0.2611923022750668,-4.354207661247877,-0.6224264587521233,-0.2125885662818252,-0.4098378924702981
389000,80256,-4.615251679158253,-4.705720216432416,0.09046853727416392,-4.331955072642544,0.14517927165881045,-4.4325425,-4.334975,-4.23466,0.1978825000000004,17.706364037579743,17.333275,17.7074,18.0766,0.7433249999999987,0.29086630867996166,0.01664855461500541,0.2805456444621086,0.29181428253650665,0.302406407892704,0.021860763430595398,0.29092481097802847,93737.13142612354,68981.58448924714,90058.55493343406,114137.72087012805,45156.13638088091,alpha-TiAl,700,88,-4.97663412,-0.26130930375880557,-4.3539423753994475,-0.6226917446005524,-0.2125885662818252,-0.4101031783187272
390000,80256,-4.61545115172277,-4.705890247458133,0.09043909573536496,-4.330700964413876,0.1442501166876939,-4.4305825,-4.334474999999999,-4.23535,0.19523249999999948,17.713249440540274,17.3382,17.7092,18.0827,0.7444999999999986,0.2913289972175465,0.016525272614070607,0.2809888422489166,0.2921857088804245,0.30284249037504196,0.021853648126125336,0.2911171233392895,93240.77712875513,68350.82004885226,89380.45125289266,114028.65993509689,45677.839886244634,alpha-TiAl,700,89,-4.97663412,-0.2612336542789342,-4.354217497443836,-0.6224166225561643,-0.2125885662818252,-0.40982805627433905
391000,80256,-4.614578110227651,-4.705195443580542,0.09061733335289199,-4.324605494044058,0.14477175215020055,-4.42341,-4.3277350000000006,-4.22932,0.1940899999999992,17.72120454670056,17.3511,17.71875,18.090225,0.7391250000000014,0.2911959320336114,0.01657451483711761,0.2808170020580292,0.29209229350090027,0.3027173578739166,0.02190035581588745,0.2910271394801767,93446.6236459592,68627.67419870704,89674.2018268899,114052.98412851355,45425.309929806506,alpha-TiAl,700,90,-4.97663412,-0.26086596738197665,-4.353712142845675,-0.6229219771543253,-0.2125885662818252,-0.4103334108725001
392000,80256,-4.6154267385901875,-4.705588335700757,0.09016159711056992,-4.329425516347688,0.14693401906570808,-4.43059,-4.33339,-4.23179,0.19879999999999942,17.721229711174242,17.345675,17.7171,18.0925,0.7468250000000012,0.29104768107288725,0.016637027533928865,0.28072213381528854,0.2919890880584717,0.3025604858994484,0.02183835208415985,0.2911246528912505,93454.36826534153,68569.10699750573,89725.97157759104,114063.20437521464,45494.09737770891,alpha-TiAl,700,91,-4.97663412,-0.2611567175516212,-4.354270021038566,-0.6223640989614339,-0.2125885662818252,-0.40977553267960865
393000,80256,-4.615052700050078,-4.70554851649721,0.09049581644713167,-4.326827027262759,0.14588114311270245,-4.42748,-4.3306249999999995,-4.23043,0.19704999999999995,17.717033906499204,17.339375,17.7142,18.0896,0.7502250000000004,0.2911923235652529,0.01661736298516098,0.280778668820858,0.2919950783252716,0.3027787357568741,0.022000066936016083,0.2912479077901786,93636.72363124945,68867.99558333999,89816.09558980257,114281.69186508365,45413.69628174366,alpha-TiAl,700,92,-4.97663412,-0.2609999732266637,-4.354052726823414,-0.6225813931765858,-0.2125885662818252,-0.4099928268947606
394000,80256,-4.614512455953348,-4.705064815714713,0.09055235976136401,-4.3217958485346895,0.14588822398514745,-4.4223825,-4.32438,-4.2252575,0.19712500000000066,17.713596173494814,17.3345,17.7119,18.0855,0.7510000000000012,0.2912119502644315,0.016590199709483416,0.2808198854327202,0.2921830266714096,0.3027488961815834,0.02192901074886322,0.291100515409906,93716.67665517228,68977.34533393229,89894.78255295455,114345.3212908697,45367.975956937415,alpha-TiAl,700,93,-4.97663412,-0.26069648582006044,-4.353815970133288,-0.6228181498667116,-0.2125885662818252,-0.41022958358488637
