evaluation_protocol,method,system,T,n_snapshots,MAE_absF,RMSE_absF,R2_absF,MAE_dFres,RMSE_dFres,R2_dFres,FANC_mean,Fpred_mean,state_bias_absF
Ti_grouped_OOF,response_only_ti_trained,beta-TiV,700,100,0.17616300438572996,0.17617073217291007,,0.17616300438573018,0.17617073217291024,-333445.2456621699,-5.0635224700000006,-4.88735946561427,0.17616300438573074
Ti_grouped_OOF,temp_only_ti_trained,Ti64,300,100,7.461986284890365e-05,9.400857987822345e-05,,7.461986284890199e-05,9.40085798782002e-05,,-4.798274260000001,-4.7982742599999995,1.7763568394002505e-15
Ti_grouped_OOF,temp_only_ti_trained,Ti64,400,100,0.0012427631134190608,0.0012497671025208498,,0.0012427631134187967,0.0012497671025205874,-88.46893830306831,-4.832169350000001,-4.830926586886581,0.0012427631134199757
Ti_grouped_OOF,temp_only_ti_trained,Ti64,500,100,0.0033438409834962448,0.0033484499956060476,,0.0033438409834954876,0.0033484499956052912,-362.50046484544964,-4.87341393,-4.870070089016504,0.0033438409834962712
Ti_grouped_OOF,temp_only_ti_trained,Ti64,600,100,0.005008376442489872,0.0050129767375692936,,0.005008376442489404,0.005012976737568825,-544.103939465146,-4.92132028,-4.91631190355751,0.005008376442489748
Ti_grouped_OOF,temp_only_ti_trained,Ti64,700,100,0.011196993451449897,0.01119985962160236,,0.011196993451449705,0.011199859621602169,-1953.0523231757886,-4.9799528099999995,-4.96875581654855,0.011196993451449089
Ti_grouped_OOF,temp_only_ti_trained,alpha-TiAl,300,100,0.00011448793741845264,0.00014197889491672334,,0.00011448793741843173,0.0001419788949166913,0.0,-4.8088239900000005,-4.80882399,8.881784197001252e-16
Ti_grouped_OOF,temp_only_ti_trained,alpha-TiAl,400,100,0.00019856458835747936,0.00024148372852467786,,0.00019856458835751503,0.000241483728524717,-0.4313896995493942,-4.84201127,-4.841878700440115,0.00013256955988527608
Ti_grouped_OOF,temp_only_ti_trained,alpha-TiAl,500,100,0.0008914427510304534,0.0009190385310226001,,0.0008914427510300255,0.000919038531022186,-15.905605349010276,-4.88184236,-4.88095091724897,0.0008914427510307021
Ti_grouped_OOF,temp_only_ti_trained,alpha-TiAl,600,100,0.0002787372389354559,0.000339641137545467,,0.0002787372389353798,0.00033964113754539327,-0.3392062189939238,-4.927009030000001,-4.9268380959978515,0.0001709340021491812
Ti_grouped_OOF,temp_only_ti_trained,alpha-TiAl,700,100,0.001895694266417074,0.0019267595175707865,,0.0018956942664169357,0.0019267595175706505,-30.263522832505238,-4.976634119999999,-4.978529814266417,-0.001895694266417891
Ti_grouped_OOF,temp_only_ti_trained,beta-TiV,300,100,0.00010831780612596375,0.000139708288936398,,0.00010831780612593395,0.00013970828893636523,-2.220446049250313e-16,-4.887960519999999,-4.88796052,-8.881784197001252e-16
Ti_grouped_OOF,temp_only_ti_trained,beta-TiV,400,100,0.0024572576243954637,0.002462149542510193,,0.00245725762439512,0.0024621495425098503,-250.90506832455603,-4.922928870000001,-4.925386127624395,-0.0024572576243944155
Ti_grouped_OOF,temp_only_ti_trained,beta-TiV,500,100,0.003977393942802081,0.003984000908410111,,0.003977393942802229,0.003984000908410259,-300.75025641478373,-4.9646379199999995,-4.968615313942802,-0.0039773939428027205
Ti_grouped_OOF,temp_only_ti_trained,beta-TiV,600,100,0.006289503513572186,0.0062946570792337085,,0.006289503513572045,0.00629465707923357,-609.95902632463,-5.011755020000001,-5.018044523513572,-0.006289503513571049
Ti_grouped_OOF,temp_only_ti_trained,beta-TiV,700,100,0.009223561860970514,0.009228606084084446,,0.009223561860970102,0.009228606084084035,-914.0198828045444,-5.0635224700000006,-5.07274603186097,-0.009223561860969731
external_no_retraining,response_only_ti_trained,Al,300,100,0.00011003068688970164,0.00013656505211100036,,0.00011003068688971593,0.0001365650521109976,-0.24087469694537345,-3.3669,-3.3669,0.0
external_no_retraining,response_only_ti_trained,Al,400,100,0.01895124300522309,0.018980126995217568,,0.018951243005222766,0.01898012699521725,-12398.042783387209,-3.3990000000000005,-3.380048756994776,0.018951243005224327
external_no_retraining,response_only_ti_trained,Al,500,100,0.011019306320158627,0.01110607371936407,,0.011019306320158352,0.011106073719363794,-3251.3539398367307,-3.4377999999999997,-3.4267806936798415,0.01101930632015824
external_no_retraining,response_only_ti_trained,Al,600,100,0.011400775600014982,0.0115390280331863,,0.01140077560001475,0.011539028033186073,-1843.4351051532099,-3.482000000000001,-3.4705992243999857,0.0114007756000154
external_no_retraining,response_only_ti_trained,Al,700,100,0.003918703544909379,0.004574072592169256,,0.003918703544909178,0.004574072592169061,-237.21779245688313,-3.5307999999999997,-3.5269610386339916,0.0038389613660081423
external_no_retraining,response_only_ti_trained,Cu,300,100,0.0005226345519908815,0.0006249396282162339,,0.0005226345519909154,0.0006249396282162608,-18.094933448540168,-3.561599999999999,-3.5616000000000003,-1.3322676295501878e-15
external_no_retraining,response_only_ti_trained,Cu,400,100,0.028603304548482356,0.028604580153586436,,0.028603304548482193,0.028604580153586263,-23680.746892377418,-3.599000000000001,-3.5703966954515183,0.02860330454848281
external_no_retraining,response_only_ti_trained,Cu,500,100,0.040972605037336365,0.041018629954099516,,0.0409726050373362,0.041018629954099356,-36651.846223033644,-3.6430999999999996,-3.6021273949626633,0.04097260503733624
external_no_retraining,response_only_ti_trained,Cu,600,100,0.2515811676778362,0.25162298031343105,,0.2515811676778361,0.2516229803134309,-880065.0144415676,-3.6927000000000003,-3.441118832322163,0.2515811676778372
external_no_retraining,response_only_ti_trained,Cu,700,100,0.4399443757221346,0.43994532429481614,,0.4399443757221346,0.4399453242948161,-1871826.1844823747,-3.7468999999999983,-3.3069556242778657,0.43994437572213263
external_no_retraining,temp_only_ti_trained,Al,300,100,9.726975202125399e-05,0.00012259580518889508,,9.726975202124642e-05,0.00012259580518888754,0.0,-3.3669,-3.3668999999999993,4.440892098500626e-16
external_no_retraining,temp_only_ti_trained,Al,400,100,0.005324383601356404,0.0053271113195771,,0.0053243836013566505,0.0053271113195773444,-975.7276340220542,-3.3990000000000005,-3.404324383601357,-0.005324383601356342
external_no_retraining,temp_only_ti_trained,Al,500,100,0.011800879967327127,0.01180248672117436,,0.011800879967327206,0.011802486721174446,-3672.023771844856,-3.4377999999999997,-3.449600879967327,-0.011800879967327038
external_no_retraining,temp_only_ti_trained,Al,600,100,0.020183740129778943,0.020185528363159195,,0.02018374012977919,0.020185528363159434,-5643.236021537714,-3.482000000000001,-3.502183740129779,-0.02018374012977775
external_no_retraining,temp_only_ti_trained,Al,700,100,0.030906997675605757,0.030908418482684993,,0.030906997675605882,0.03090841848268512,-10876.313800846268,-3.5307999999999997,-3.5617069976756057,-0.030906997675606007
external_no_retraining,temp_only_ti_trained,Cu,300,100,0.00011413112793618119,0.00014301414372294732,,0.00011413112793616288,0.0001430141437229099,0.0,-3.561599999999999,-3.5616000000000003,-1.3322676295501878e-15
external_no_retraining,temp_only_ti_trained,Cu,400,100,0.001961132735565121,0.0019699219151609894,,0.0019611327355649856,0.0019699219151608546,-111.31573487548438,-3.599000000000001,-3.5970388672644344,0.0019611327355666397
external_no_retraining,temp_only_ti_trained,Cu,500,100,0.004494960260714263,0.004500063574563779,,0.004494960260714286,0.004500063574563803,-440.14636214207695,-3.6430999999999996,-3.6386050397392857,0.004494960260713832
external_no_retraining,temp_only_ti_trained,Cu,600,100,0.006609628996529299,0.006615069005182696,,0.006609628996529186,0.006615069005182583,-607.2518016085087,-3.6927000000000003,-3.6860903710034707,0.006609628996529615
external_no_retraining,temp_only_ti_trained,Cu,700,100,0.0072728455284533314,0.007279950874093982,,0.007272845528453322,0.007279950874093974,-511.53701437272196,-3.7468999999999983,-3.739627154471547,0.0072728455284511995
