descriptor_stack,k,system,T_K,snap,dFcorr_true_meVatom,dFcorr_knn_median_meVatom,abs_representation_mismatch_meVatom,median_cross_state_neighbor_distance,neighbor_target_IQR_meVatom
d3_SLE_Voro_q6,10,beta-TiV,500.0,66,4.039845379175761,2.09331635927474,1.9465290199010208,2.6400902252321505,0.30255734255344585
d3_SLE_Voro_q6,10,beta-TiV,500.0,67,4.138667293431874,2.09331635927474,2.0453509341571348,2.6617846331538204,0.30255734255344585
d3_SLE_Voro_q6,10,beta-TiV,500.0,68,3.810249217477968,2.2263103387359373,1.5839388787420305,2.712665488122941,0.32944276523540206
d3_SLE_Voro_q6,10,beta-TiV,500.0,69,3.5288744705411768,5.947827168726938,2.418952698185761,2.6682211796024227,0.3537431111364786
d3_SLE_Voro_q6,10,beta-TiV,500.0,70,3.9941232786878667,2.09331635927474,1.900806919413127,2.6729804587381443,0.30255734255344585
d3_SLE_Voro_q6,10,beta-TiV,500.0,71,4.100162508520272,2.024316015479234,2.0758464930410376,2.6406214170659688,0.27567905671239956
d3_SLE_Voro_q6,10,beta-TiV,500.0,72,3.773527384278774,5.947827168726938,2.1742997844481637,2.6740598921644416,0.3537431111364786
d3_SLE_Voro_q6,10,beta-TiV,500.0,73,3.915589148029669,2.09331635927474,1.8222727887549293,2.613615544749165,0.30255734255344585
d3_SLE_Voro_q6,10,beta-TiV,500.0,74,4.087909048156563,6.028069854679686,1.9401608065231224,2.6881164094111076,0.2882110544486366
d3_SLE_Voro_q6,10,beta-TiV,500.0,75,4.05254452651746,5.947827168726938,1.8952826422094782,2.6658079567552204,0.3537431111364786
d3_SLE_Voro_q6,10,beta-TiV,500.0,76,3.5317580589882547,2.1077202385964835,1.4240378203917714,2.7106105859856884,0.27997210280529883
d3_SLE_Voro_q6,10,beta-TiV,500.0,77,4.2773003170536725,2.2263103387359373,2.0509899783177357,2.699875342756968,0.32944276523540206
d3_SLE_Voro_q6,10,beta-TiV,500.0,78,3.6751987259840693,2.09331635927474,1.5818823667093294,2.6809402941368394,0.30255734255344585
d3_SLE_Voro_q6,10,beta-TiV,500.0,79,3.6540912516787594,6.028069854679686,2.373978603000926,2.6044250678557646,0.2882110544486366
d3_SLE_Voro_q6,10,beta-TiV,500.0,80,3.8979157103314623,2.09331635927474,1.8045993510567224,2.665197730318077,0.30255734255344585
d3_SLE_Voro_q6,10,beta-TiV,500.0,81,3.9719171432009706,5.686486657180772,1.7145695139798023,2.7195747042425937,3.672645348924749
d3_SLE_Voro_q6,10,beta-TiV,500.0,82,4.292442506760169,2.09331635927474,2.1991261474854293,2.6596477951557196,0.30255734255344585
